URI,Method,User-agent,Body
/get_domains/v3/?iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019795561,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7 HttpURLConnection,
/2/user/info/?iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_client=a1%2Cc2%2Ce1%2Cf2%2Cg2%2Cb7%2Cf6&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019795765,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7,
/feedback/2/list/?appkey=article-news-android&count=50&iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_client=a1%2Cc2%2Ce1%2Cf2%2Cg2%2Cb7%2Cf6&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019798449,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7,
/monitor/settings/?iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019795572,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7,
/service/13/app_ad/?_unused=0&carrier=CHN-UNICOM&mcc_mnc=46001&ad_area=1080x1860&bh=295&display_density=1080x1920&display_dpi=480&density=3.0&access=wifi&iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_client=a1%2Cc2%2Ce1%2Cf2%2Cg2%2Cb7%2Cf6&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019795775,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7,
/service/settings/v2/?app=1&iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_client=a1%2Cc2%2Ce1%2Cf2%2Cg2%2Cb7%2Cf6&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019795763,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7,
/check_version/v6/?update_version_code=5470&manifest_version_code=547&iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_client=a1%2Cc2%2Ce1%2Cf2%2Cg2%2Cb7%2Cf6&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019799048,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7,
/2/user/info/?iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_client=a1%2Cc2%2Ce1%2Cf2%2Cg2%2Cb7%2Cf6&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019799094,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7,
/service/2/app_alert/?has_market=1&lang=zh&carrier=CHN-UNICOM&mcc_mnc=46001&access=wifi&iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_client=a1%2Cc2%2Ce1%2Cf2%2Cg2%2Cb7%2Cf6&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019799114,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7,
/service/3/app_components/?screen_type=android_hdpi&iid=4420396949&device_id=16589469506&ac=wifi&channel=tengxun&aid=13&app_name=news_article&version_code=547&version_name=5.4.7&device_platform=android&ab_version=new_user_video_pos_v2_flt0&ab_client=a1%2Cc2%2Ce1%2Cf2%2Cg2%2Cb7%2Cf6&ab_group=z1&ab_feature=z1&abflag=3&ssmix=a&device_type=MI+4LTE&device_brand=Xiaomi&language=zh&os_api=23&os_version=6.0.1&uuid=865931022792071&openudid=8bae983aa687dd48&manifest_version_code=547&resolution=1080*1920&dpi=480&update_version_code=5470&_rticket=1464019799160,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14) NewsArticle/5.4.7,
