URI,Method,User-agent,Body
/unionid/v1/generate,POST,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),"{""unionid"":""2eb263d42123ab54e83277bd4c06e069"",""data"":{""bluetooth_mac"":"""",""pseudo_uniqueid"":""357616666673246"",""imei"":""865931022792071"",""serial_number"":""850c200e"",""model"":""MI 4LTE"",""android_id"":""8bae983aa687dd48"",""type"":""Android"",""brand"":""Xiaomi"",""wlan_mac"":""02:00:00:00:00:00""}}"
/config/v1/keyvalue.json?appname=group&platform=android&version=2.8.1,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/config/v1/keyvalue.json?appname=group&platform=android&version=2.8&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBpushC0D200E0H145673&ci=1&msid=8659310227920711464400453349&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=9a7a9a7a-85c6-4e39-9908-23b320c9ee23&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515490418&__skua=594476d291cbea2d29902a8d800824bd&__skno=0b1be2df-0e16-4532-b481-f56c067848b1&__skcy=K9qZ8iLSiWDSg28LaeM0%2FbVxta8%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/group/v1/user/65687079/ordercenternew/unused?token=JXylHXJemQmAyrBVhhJTQJJ4pqoAAAAAOgIAAKpw00653emR9wW8FN8VNTQFUzOIQiUmsqZLP2s8zLY1o7JFFVo7Zr96yF8E70EaRQ&dealFields=imgurl%2Csmstitle%2Crefund%2Cfakerefund%2Csevenrefund%2Chowuse%2Ctitle%2Cprice%2Cvalue%2Cbrandname%2Ccate%2Csubcate%2Cmenu%2Cterms%2Crdploc%2Cmname%2Cctype%2Cvoice%2Ccoupontitle%2Cktvplan%2Cbookingphone%2CattrJson%2Cpricecalendar%2Cisappointonline%2Coptionalattrs%2Cslug%2Cend%2Cstatus%2Crdcount%2Ccouponendtime%2Cexpireautorefund%2CiUrl&moreinfo=hotel&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBpushC0D200E0H145673&ci=1&msid=8659310227920711464400453349&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=3bd88ff8-77d1-460a-87fe-f468951dd303&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515490706&__skua=594476d291cbea2d29902a8d800824bd&__skno=6a5b7034-084e-4e69-82cd-f263a00b20e0&__skcy=qOYieEcI4gAs7TVUnKVROnevFOQ%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/volga/v1/magpie/route?cityId=1&__vhost=lvyou.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBpushC0D200E0H145673&ci=1&msid=8659310227920711464400453349&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=afc32a46-f905-4670-b0fd-29d147472215&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515491251&__skua=594476d291cbea2d29902a8d800824bd&__skno=a8de489f-1930-4db8-9265-13225e8843c7&__skcy=sBvBLR%2BS2fALnWI1delggnnC8q0%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/config/v1/keyvalue.json?appname=group&platform=android&version=2.8,GET,Apache-HttpClient/UNAVAILABLE (java 1.4),
/api/mobile/switches/v2?token=566a3fa581e6e3b434f44a75&os=Android&osVersion=6.0.1&appVersion=6.8.1&deviceId=865931022792071,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/group/v3/abtest?city=1&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&platform=android&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&userid=65687079&__reqTraceID=94a94162-181c-4fca-9e13-8377b0968175&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515491494&__skua=594476d291cbea2d29902a8d800824bd&__skno=bd20109e-b84c-4412-ac24-6d6384251863&__skcy=pKwzC3lheOLJQYfCgEZ611%2Bzjb8%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/,POST,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),"[{""android_id"":""8bae983aa687dd48"",""app"":""6.8.1"",""appnm"":""group"",""bht"":""unauthorized"",""brand"":""Xiaomi"",""ch"":""wandoujia"",""cityid"":""1"",""ct"":""android"",""did"":""3980AFDFDA0790D"",""dm"":""MI 4LTE"",""lch"":""group"",""msid"":""3980AFDFDA0790D1464515489586"",""net"":""WIFI"",""os"":""6.0.1"",""pushid"":""0"",""sdk_ver"":""2.4.4"",""serial_number"":""850c200e"",""uid"":""65687079"",""union_id"":""2eb263d42123ab54e83277bd4c06e069"",""uuid"":""521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893"",""version_code"":""381"",""wifi"":""on"",""category"":""data_sdk_group"",""evs"":[{""nm"":""report"",""val_act"":""start"",""tm"":1464515491295}]}]"
/appupdate/hotfix/patchlist_v1?os_ver=6.0.1&dev=cancro&dev_model=MI+4LTE&brand=Xiaomi&jvm_ver=2.1.0&user_id=65687079&channel=wandoujia&cpu_arc=armeabi-v7a&hotfix_ver=10002&apk_hash=8dc655128a47ae02b74d45474ba82810&app=group&app_ver=6.8.1,GET,okhttp/2.7.5,
/group/v1/recommend/homepage/inteligent/1?uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&position=null&wifi-name=360%08MF910S_9EBDCD%08TP-LINK_DC32%08CMCC-WEB%08CMCC%08and-Business%08&wifi-mac=00%3A87%3A46%3A0c%3A61%3Abd%08d0%3A5b%3Aa8%3A9e%3Abd%3Acd%0824%3A69%3A68%3A35%3Adc%3A32%0800%3A27%3A1d%3A06%3A87%3A5d%0800%3A27%3A1d%3A07%3A87%3A5d%0800%3A27%3A1d%3A08%3A87%3A5d%08&wifi-strength=-15%08-57%08-71%08-73%08-78%08-78%08&wifi-cur=0&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&__reqTraceID=156887af-4d7d-4411-b0dc-d959269da9b4&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515491632&__skua=594476d291cbea2d29902a8d800824bd&__skno=c3409827-3544-4db0-8a20-9513ed38f49b&__skcy=58WxBnXT7yGclYnbakmIOHkRhbw%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/api/resource/list?version_name=6.8.1&ci=1&utm_medium=android&moduleId=33&__vhost=aop.meituan.com&utm_source=wandoujia&utm_term=381&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=ba04d787-f979-485d-96bc-2e217051818f&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515491733&__skua=594476d291cbea2d29902a8d800824bd&__skno=eedc3b8c-2612-4250-8e1c-65b9686fcd17&__skcy=1bRcZw4xeKolC6bOtshAAR4%2FxaA%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/msg/num?token=JXylHXJemQmAyrBVhhJTQJJ4pqoAAAAAOgIAAKpw00653emR9wW8FN8VNTQFUzOIQiUmsqZLP2s8zLY1o7JFFVo7Zr96yF8E70EaRQ&platform=1&__vhost=open.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=6131b45b-b4a0-4bf7-aa06-6267f1c341a6&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515491733&__skua=594476d291cbea2d29902a8d800824bd&__skno=a0f46d95-dfbb-4636-9350-f035bfd76700&__skcy=MiqjiKD88CwQb4PcfTqe0Z5pTB0%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/config/v1/window/check.json?platform=android&city_id=1&app_version=6.8.1&app_name=group&type=%E5%9B%A2%E8%B4%AD&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=18a00928-d830-4f82-a9cb-82089807ce8e&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515491738&__skua=594476d291cbea2d29902a8d800824bd&__skno=17a97697-ac32-4128-b7bd-54c8761e9083&__skcy=WuMuhh8R%2Fl3s1ZAYD2%2FpTfDPjdQ%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/api/resource/list?version_name=6.8.1&ci=1&utm_medium=android&moduleId=33&__vhost=aop.meituan.com&utm_source=wandoujia&utm_term=381&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=ba04d787-f979-485d-96bc-2e217051818f&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515491733&__skua=594476d291cbea2d29902a8d800824bd&__skno=eedc3b8c-2612-4250-8e1c-65b9686fcd17&__skcy=1bRcZw4xeKolC6bOtshAAR4%2FxaA%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/msg/num?token=JXylHXJemQmAyrBVhhJTQJJ4pqoAAAAAOgIAAKpw00653emR9wW8FN8VNTQFUzOIQiUmsqZLP2s8zLY1o7JFFVo7Zr96yF8E70EaRQ&platform=1&__vhost=open.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=6131b45b-b4a0-4bf7-aa06-6267f1c341a6&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515491733&__skua=594476d291cbea2d29902a8d800824bd&__skno=a0f46d95-dfbb-4636-9350-f035bfd76700&__skcy=MiqjiKD88CwQb4PcfTqe0Z5pTB0%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/config/v1/window/check.json?platform=android&city_id=1&app_version=6.8.1&app_name=group&type=%E5%9B%A2%E8%B4%AD&__vhost=api.mobile.meituan.com&utm_source=wandoujia&utm_medium=android&utm_term=381&version_name=6.8.1&utm_content=865931022792071&utm_campaign=AgroupBgroupC0D200E0&ci=1&msid=8659310227920711464515491394&uuid=521BF886936908E7E1A697E70B264C5B3B1280683785440C9BF1C463CF51E893&userid=65687079&__reqTraceID=18a00928-d830-4f82-a9cb-82089807ce8e&__skck=6a375bce8c66a0dc293860dfa83833ef&__skts=1464515491738&__skua=594476d291cbea2d29902a8d800824bd&__skno=17a97697-ac32-4128-b7bd-54c8761e9083&__skcy=WuMuhh8R%2Fl3s1ZAYD2%2FpTfDPjdQ%3D,GET,AiMeiTuan /Xiaomi-6.0.1-MI 4LTE-1920x1080-480-6.8.1-381-865931022792071-wandoujia,
/jungle/d25dfe1db1ed34a2e55bbc8f441eb90f2383.png,GET,okhttp/2.7.5,
